题目ID,题型,原答案,建议答案,状态,备注
sanguo-055,多选题,ABD,A,需人工,逐项推导与答案字段冲突
sanguo-067,多选题,AC,A,需人工,逐项推导与答案字段冲突
sanguo-074,多选题,CD,C,需人工,逐项推导与答案字段冲突
sanguo-083,多选题,CD,B,需人工,逐项推导与答案字段冲突
sanguo-085,多选题,AC,A,需人工,逐项推导与答案字段冲突
sanguo-232,多选题,ACD,A,需人工,逐项推导与答案字段冲突
sanguo-242,多选题,CD,C,需人工,逐项推导与答案字段冲突
sanguo-004,多选题,,,跳过,答案字段为空
sanguo-010,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-013,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-014,单选题,C,C,跳过,结论含被判错选项
sanguo-025,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-026,多选题,,,跳过,答案字段为空
sanguo-027,单选题,A,A,跳过,负面题否定陈述与结论不符
sanguo-029,多选题,,,跳过,答案字段为空
sanguo-030,多选题,BC,,跳过,无强结论且逐项推导不可信
sanguo-031,多选题,BC,BC,跳过,明确当选选项不在结论
sanguo-035,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-039,单选题,C,C,跳过,负面题否定陈述与结论不符
sanguo-040,多选题,BD,BD,跳过,负面题否定陈述与结论不符
sanguo-046,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-051,多选题,,,跳过,答案字段为空
sanguo-052,单选题,B,B,跳过,负面题否定陈述与结论不符
sanguo-053,多选题,BD,BD,跳过,负面题否定陈述与结论不符
sanguo-062,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-079,多选题,,,跳过,答案字段为空
sanguo-088,多选题,无答案,,跳过,答案字段为空
sanguo-090,单选题,D,D,跳过,结论含被判错选项
sanguo-092,多选题,,,跳过,答案字段为空
sanguo-103,单选题,A,A,跳过,结论含被判错选项
sanguo-115,单选题,C,C,跳过,结论含被判错选项
sanguo-116,多选题,,,跳过,答案字段为空
sanguo-117,多选题,,,跳过,答案字段为空
sanguo-123,多选题,,,跳过,答案字段为空
sanguo-129,多选题,CD,,跳过,无强结论且逐项推导不可信
sanguo-133,单选题,D,D,跳过,负面题否定陈述与结论不符
sanguo-136,多选题,,,跳过,答案字段为空
sanguo-144,单选题,B,,跳过,无强结论且逐项推导不可信
sanguo-150,多选题,,,跳过,答案字段为空
sanguo-152,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-154,多选题,,,跳过,答案字段为空
sanguo-160,单选题,A,,跳过,无强结论且逐项推导不可信
sanguo-166,多选题,,,跳过,答案字段为空
sanguo-169,多选题,BC,BC,跳过,负面题否定陈述与结论不符
sanguo-175,多选题,ABCD,,跳过,无强结论且逐项推导不可信
sanguo-185,多选题,,,跳过,答案字段为空
sanguo-188,多选题,ABCD,,跳过,无强结论且逐项推导不可信
sanguo-190,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-193,单选题,B,,跳过,无强结论且逐项推导不可信
sanguo-197,单选题,A,C,跳过,结论含被判错选项
sanguo-198,多选题,,,跳过,答案字段为空
sanguo-205,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-210,多选题,,,跳过,答案字段为空
sanguo-213,多选题,,,跳过,答案字段为空
sanguo-214,单选题,B,,跳过,无强结论且逐项推导不可信
sanguo-215,单选题,B,B,跳过,负面题否定陈述与结论不符
sanguo-223,单选题,D,D,跳过,明确当选选项不在结论
sanguo-227,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-233,多选题,,,跳过,答案字段为空
sanguo-235,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-236,单选题,B,B,跳过,结论含被判错选项
sanguo-237,多选题,CD,,跳过,无强结论且逐项推导不可信
sanguo-238,多选题,,,跳过,答案字段为空
sanguo-239,单选题,B,,跳过,无强结论且逐项推导不可信
sanguo-241,单选题,A,A,跳过,结论含被判错选项
sanguo-243,单选题,B,,跳过,无强结论且逐项推导不可信
sanguo-246,多选题,,,跳过,答案字段为空
sanguo-248,多选题,,,跳过,答案字段为空
sanguo-249,多选题,AD,AD,跳过,负面题否定陈述与结论不符
sanguo-255,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-262,单选题,C,C,跳过,明确当选选项不在结论
sanguo-267,多选题,,,跳过,答案字段为空
sanguo-277,单选题,A,,跳过,无强结论且逐项推导不可信
sanguo-292,多选题,BCD,BCD,跳过,明确当选选项不在结论
sanguo-293,多选题,BCD,,跳过,无强结论且逐项推导不可信
sanguo-299,单选题,D,,跳过,无强结论且逐项推导不可信
sanguo-304,单选题,C,,跳过,无强结论且逐项推导不可信
sanguo-306,单选题,B,B,跳过,结论含被判错选项
sanguo-313,多选题,AC,,跳过,无强结论且逐项推导不可信
sanguo-315,多选题,AC,AC,跳过,负面题否定陈述与结论不符
sanguo-316,多选题,CD,,跳过,无强结论且逐项推导不可信
sanguo-317,单选题,B,CD,跳过,单选但结论多字母(误提取)
sanguo-324,多选题,,,跳过,答案字段为空
sanguo-330,多选题,ABC,ABC,跳过,明确当选选项不在结论
sanguo-335,单选题,A,A,跳过,结论含被判错选项
sanguo-344,多选题,CD,,跳过,无强结论且逐项推导不可信
sanguo-346,单选题,D,D,跳过,负面题否定陈述与结论不符
sanguo-348,多选题,,,跳过,答案字段为空
sanguo-349,多选题,BCD,,跳过,无强结论且逐项推导不可信
sanguo-354,多选题,,,跳过,答案字段为空
sanguo-355,多选题,,,跳过,答案字段为空
sanguo-356,多选题,CD,,跳过,无强结论且逐项推导不可信
