题目ID,题型,原答案,建议答案,状态,备注
xingzheng-009,多选,AC,A,已修改,强结论覆盖
xingzheng-010,单选,A,CD,需人工,逐项推导与答案字段冲突
xingzheng-088,多选,CD,B,需人工,逐项推导与答案字段冲突
xingzheng-089,单选,C,B,需人工,逐项推导与答案字段冲突
xingzheng-109,多选,BCD,B,需人工,逐项推导与答案字段冲突
xingzheng-142,多选,AD,ACD,需人工,逐项推导与答案字段冲突
xingzheng-161,多选,BD,A,需人工,逐项推导与答案字段冲突
xingzheng-162,多选,BD,A,需人工,逐项推导与答案字段冲突
xingzheng-163,单选,A,AD,需人工,逐项推导与答案字段冲突
xingzheng-164,多选,AD,C,需人工,逐项推导与答案字段冲突
xingzheng-165,单选,C,A,需人工,逐项推导与答案字段冲突
xingzheng-218,单选,C,A,需人工,逐项推导与答案字段冲突
xingzheng-279,单选,A,B,需人工,逐项推导与答案字段冲突
xingzheng-292,任选题,CD,B,需人工,逐项推导与答案字段冲突
xingzheng-300,单选,D,ABC,需人工,逐项推导与答案字段冲突
xingzheng-301,单选,C,ABC,需人工,逐项推导与答案字段冲突
xingzheng-302,多选,BC,ABC,需人工,逐项推导与答案字段冲突
xingzheng-310,多选,AB,A,需人工,逐项推导与答案字段冲突
xingzheng-317,单选,A,AB,需人工,逐项推导与答案字段冲突
xingzheng-345,多选,ABC,CD,需人工,逐项推导与答案字段冲突
xingzheng-365,单选,C,A,需人工,逐项推导与答案字段冲突
xingzheng-366,任选题,AD,A,需人工,逐项推导与答案字段冲突
xingzheng-392,多选,ABD,C,需人工,逐项推导与答案字段冲突
xingzheng-405,多选,AD,B,需人工,逐项推导与答案字段冲突
xingzheng-411,单选,C,AC,需人工,逐项推导与答案字段冲突
xingzheng-002,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-006,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-015,单选,C,,跳过,无强结论且逐项推导不可信
xingzheng-018,单选,D,BC,跳过,单选但结论多字母(误提取)
xingzheng-019,任选题,BC,B,跳过,结论含被判错选项
xingzheng-021,单选,A,A,跳过,结论含被判错选项
xingzheng-022,单选,A,BCD,跳过,单选但结论多字母(误提取)
xingzheng-024,单选,B,,跳过,无强结论且逐项推导不可信
xingzheng-026,单选,D,C,跳过,负面题否定陈述与结论不符
xingzheng-027,单选,C,ABD,跳过,单选但结论多字母(误提取)
xingzheng-028,任选题,ABD,C,跳过,负面题否定陈述与结论不符
xingzheng-029,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-032,多选,BC,,跳过,无强结论且逐项推导不可信
xingzheng-033,单选,A,,跳过,无强结论且逐项推导不可信
xingzheng-034,多选,BD,,跳过,无强结论且逐项推导不可信
xingzheng-035,多选,AB,,跳过,无强结论且逐项推导不可信
xingzheng-037,单选,A,D,跳过,结论含被判错选项
xingzheng-038,单选,D,AC,跳过,单选但结论多字母(误提取)
xingzheng-039,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-041,单选,C,C,跳过,明确当选选项不在结论
xingzheng-047,单选,A,BC,跳过,单选但结论多字母(误提取)
xingzheng-048,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-050,单选,B,ACD,跳过,单选但结论多字母(误提取)
xingzheng-055,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-056,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-061,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-063,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-065,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-073,单选,C,CD,跳过,单选但结论多字母(误提取)
xingzheng-074,多选,CD,CD,跳过,结论含被判错选项
xingzheng-075,任选题,ABC,ABC,跳过,明确当选选项不在结论
xingzheng-076,多选,ABC,AB,跳过,负面题否定陈述与结论不符
xingzheng-078,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-079,多选,AC,ACD,跳过,结论含被判错选项
xingzheng-080,多选,ACD,ABCD,跳过,结论含被判错选项
xingzheng-081,多选,ABCD,BC,跳过,负面题否定陈述与结论不符
xingzheng-084,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-085,单选,B,BCD,跳过,单选但结论多字母(误提取)
xingzheng-087,任选题,BCD,,跳过,无强结论且逐项推导不可信
xingzheng-092,多选,ABC,ABC,跳过,结论含被判错选项
xingzheng-097,单选,B,ABC,跳过,单选但结论多字母(误提取)
xingzheng-105,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-108,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-111,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-117,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-118,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-122,单选,D,,跳过,无强结论且逐项推导不可信
xingzheng-123,单选,B,,跳过,无强结论且逐项推导不可信
xingzheng-124,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-127,单选,A,BD,跳过,单选但结论多字母(误提取)
xingzheng-129,单选,C,,跳过,无强结论且逐项推导不可信
xingzheng-134,单选,D,ABD,跳过,单选但结论多字母(误提取)
xingzheng-135,任选题,ABD,BCD,跳过,结论含被判错选项
xingzheng-139,多选,ABD,A,跳过,结论含被判错选项
xingzheng-140,单选,A,ABD,跳过,单选但结论多字母(误提取)
xingzheng-141,多选,ABD,,跳过,无强结论且逐项推导不可信
xingzheng-143,多选,ACD,,跳过,无强结论且逐项推导不可信
xingzheng-144,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-146,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-150,多选,ACD,ACD,跳过,明确当选选项不在结论
xingzheng-151,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-152,多选,ACD,D,跳过,结论含被判错选项
xingzheng-154,单选,C,D,跳过,结论含被判错选项
xingzheng-155,单选,D,AC,跳过,单选但结论多字母(误提取)
xingzheng-158,多选,ABD,C,跳过,明确当选选项不在结论
xingzheng-159,单选,B,C,跳过,结论含被判错选项
xingzheng-160,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-166,多选,AC,,跳过,无强结论且逐项推导不可信
xingzheng-171,单选,A,AC,跳过,单选但结论多字母(误提取)
xingzheng-172,多选,AC,ACD,跳过,负面题否定陈述与结论不符
xingzheng-174,多选,AB,AB,跳过,明确当选选项不在结论
xingzheng-177,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-178,多选,AD,A,跳过,结论含被判错选项
xingzheng-179,单选,A,D,跳过,负面题否定陈述与结论不符
xingzheng-186,单选,C,ABCD,跳过,单选但结论多字母(误提取)
xingzheng-187,任选题,ABCD,D,跳过,结论含被判错选项
xingzheng-189,单选,A,A,跳过,负面题否定陈述与结论不符
xingzheng-191,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-193,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-194,多选,AC,AC,跳过,明确当选选项不在结论
xingzheng-195,多选,AD,AC,跳过,明确当选选项不在结论
xingzheng-196,多选,AC,,跳过,无强结论且逐项推导不可信
xingzheng-198,多选,BCD,BC,跳过,明确当选选项不在结论
xingzheng-200,任选题,BCD,,跳过,无强结论且逐项推导不可信
xingzheng-202,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-205,多选,CD,ABC,跳过,结论含被判错选项
xingzheng-206,多选,ABC,ABC,跳过,负面题否定陈述与结论不符
xingzheng-208,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-212,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-215,多选,BCD,C,跳过,负面题否定陈述与结论不符
xingzheng-220,任选题,D,ABC,跳过,单选但结论多字母(误提取)
xingzheng-221,多选,ABC,BCD,跳过,负面题否定陈述与结论不符
xingzheng-225,单选,D,BC,跳过,单选但结论多字母(误提取)
xingzheng-229,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-231,多选,BCD,CD,跳过,负面题否定陈述与结论不符
xingzheng-233,任选题,BC,CD,跳过,结论含被判错选项
xingzheng-234,多选,CD,,跳过,无强结论且逐项推导不可信
xingzheng-236,单选,A,,跳过,无强结论且逐项推导不可信
xingzheng-237,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-243,单选,C,ABD,跳过,单选但结论多字母(误提取)
xingzheng-248,单选,D,C,跳过,结论含被判错选项
xingzheng-249,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-251,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-252,多选,AB,ABD,跳过,结论含被判错选项
xingzheng-253,多选,ABD,BCD,跳过,负面题否定陈述与结论不符
xingzheng-254,多选,BCD,ABC,跳过,结论含被判错选项
xingzheng-262,多选,BD,ABCD,跳过,结论含被判错选项
xingzheng-263,多选,ABCD,AB,跳过,负面题否定陈述与结论不符
xingzheng-268,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-273,多选,AC,BD,跳过,负面题否定陈述与结论不符
xingzheng-274,多选,BD,AC,跳过,负面题否定陈述与结论不符
xingzheng-276,任选题,ABCD,,跳过,无强结论且逐项推导不可信
xingzheng-277,单选,A,,跳过,无强结论且逐项推导不可信
xingzheng-280,多选,BC,,跳过,无强结论且逐项推导不可信
xingzheng-282,多选,AC,,跳过,无强结论且逐项推导不可信
xingzheng-283,多选,AB,,跳过,无强结论且逐项推导不可信
xingzheng-285,单选,D,AD,跳过,单选但结论多字母(误提取)
xingzheng-286,多选,AD,AB,跳过,负面题否定陈述与结论不符
xingzheng-289,单选,B,AD,跳过,单选但结论多字母(误提取)
xingzheng-291,单选,C,CD,跳过,单选但结论多字母(误提取)
xingzheng-298,多选,CD,CD,跳过,结论含被判错选项
xingzheng-299,多选,CD,D,跳过,负面题否定陈述与结论不符
xingzheng-303,多选,A,A,跳过,明确当选选项不在结论
xingzheng-304,单选,A,CD,跳过,单选但结论多字母(误提取)
xingzheng-308,单选,B,,跳过,无强结论且逐项推导不可信
xingzheng-309,单选,B,,跳过,无强结论且逐项推导不可信
xingzheng-312,单选,A,ACD,跳过,单选但结论多字母(误提取)
xingzheng-313,单选,B,ACD,跳过,单选但结论多字母(误提取)
xingzheng-315,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-316,多选,ACD,,跳过,无强结论且逐项推导不可信
xingzheng-323,单选,A,BD,跳过,单选但结论多字母(误提取)
xingzheng-324,多选,BD,ABCD,跳过,结论含被判错选项
xingzheng-325,任选题,BC,ABCD,跳过,结论含被判错选项
xingzheng-326,任选题,ABCD,D,跳过,负面题否定陈述与结论不符
xingzheng-327,单选,D,A,跳过,负面题否定陈述与结论不符
xingzheng-329,单选,A,CD,跳过,单选但结论多字母(误提取)
xingzheng-331,单选,D,AB,跳过,单选但结论多字母(误提取)
xingzheng-333,多选,BC,AB,跳过,负面题否定陈述与结论不符
xingzheng-337,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-340,单选,C,AD,跳过,单选但结论多字母(误提取)
xingzheng-344,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-349,单选,D,C,跳过,负面题否定陈述与结论不符
xingzheng-350,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-352,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-354,多选,ABD,A,跳过,负面题否定陈述与结论不符
xingzheng-355,单选,A,ABD,跳过,单选但结论多字母(误提取)
xingzheng-357,单选,D,ABC,跳过,单选但结论多字母(误提取)
xingzheng-359,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-360,任选题,BC,BC,跳过,明确当选选项不在结论
xingzheng-361,多选,BC,C,跳过,负面题否定陈述与结论不符
xingzheng-362,多选,BCD,C,跳过,负面题否定陈述与结论不符
xingzheng-363,多选,ABCD,ABCD,跳过,结论含被判错选项
xingzheng-367,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-368,多选,AB,BCD,跳过,负面题否定陈述与结论不符
xingzheng-369,多选,ABCD,BCD,跳过,负面题否定陈述与结论不符
xingzheng-372,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-378,单选,A,ABC,跳过,单选但结论多字母(误提取)
xingzheng-379,单选,B,ABC,跳过,单选但结论多字母(误提取)
xingzheng-383,任选题,ABC,AC,跳过,负面题否定陈述与结论不符
xingzheng-391,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-394,多选,BCD,,跳过,无强结论且逐项推导不可信
xingzheng-397,单选,A,BC,跳过,单选但结论多字母(误提取)
xingzheng-399,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-402,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-404,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-407,单选,B,,跳过,无强结论且逐项推导不可信
xingzheng-408,多选,AC,,跳过,无强结论且逐项推导不可信
xingzheng-413,单选,C,ACD,跳过,单选但结论多字母(误提取)
xingzheng-414,单选,C,,跳过,无强结论且逐项推导不可信
xingzheng-418,单选,D,AB,跳过,单选但结论多字母(误提取)
xingzheng-420,单选,D,D,跳过,结论含被判错选项
xingzheng-423,单选,D,BCD,跳过,单选但结论多字母(误提取)
xingzheng-426,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-430,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-432,单选,D,ABC,跳过,单选但结论多字母(误提取)
xingzheng-433,多选,ABC,ABC,跳过,结论含被判错选项
xingzheng-434,任选题,ABC,ABC,跳过,结论含被判错选项
