题目ID,题型,原答案,新答案(或解析结论),状态,备注
xingzheng-001,多选,ABC,AC,已修改,字段→解析结论
xingzheng-003,多选,AC,BC,已修改,字段→解析结论
xingzheng-004,多选,BC,ABCD,已修改,字段→解析结论
xingzheng-005,多选,ABCD,BC,已修改,字段→解析结论
xingzheng-007,多选,AD,BC,已修改,字段→解析结论
xingzheng-008,多选,BC,AC,已修改,字段→解析结论
xingzheng-012,多选,CD,B,已修改,字段→解析结论
xingzheng-013,单选,B,D,已修改,字段→解析结论
xingzheng-017,单选,C,D,已修改,字段→解析结论
xingzheng-020,单选,B,A,已修改,字段→解析结论
xingzheng-023,多选,BCD,B,已修改,字段→解析结论
xingzheng-025,单选,C,D,已修改,字段→解析结论
xingzheng-030,多选,BCD,B,已修改,字段→解析结论
xingzheng-031,任选题,B,BC,已修改,字段→解析结论
xingzheng-036,多选,CD,A,已修改,字段→解析结论
xingzheng-040,多选,AC,C,已修改,字段→解析结论
xingzheng-042,多选,BC,C,已修改,字段→解析结论
xingzheng-043,多选,AC,C,已修改,字段→解析结论
xingzheng-045,单选,C,B,已修改,字段→解析结论
xingzheng-046,单选,B,A,已修改,字段→解析结论
xingzheng-049,多选,BC,B,已修改,字段→解析结论
xingzheng-051,多选,ACD,D,已修改,字段→解析结论
xingzheng-054,单选,D,B,已修改,字段→解析结论
xingzheng-057,多选,BC,ABC,已修改,字段→解析结论
xingzheng-058,多选,ABC,D,已修改,字段→解析结论
xingzheng-059,单选,D,C,已修改,字段→解析结论
xingzheng-062,多选,BCD,ACD,已修改,字段→解析结论
xingzheng-064,多选,AC,B,已修改,字段→解析结论
xingzheng-066,任选题,ACD,B,已修改,字段→解析结论
xingzheng-067,单选,B,C,已修改,字段→解析结论
xingzheng-069,单选,C,A,已修改,字段→解析结论
xingzheng-070,单选,A,D,已修改,字段→解析结论
xingzheng-071,单选,B,D,已修改,字段→解析结论
xingzheng-072,单选,D,C,已修改,字段→解析结论
xingzheng-075,任选题,CD,ABC,已修改,字段→解析结论
xingzheng-077,多选,AB,C,已修改,字段→解析结论
xingzheng-082,多选,BC,B,已修改,字段→解析结论
xingzheng-083,任选题,ABC,B,已修改,字段→解析结论
xingzheng-091,多选,ABCD,BD,已修改,字段→解析结论
xingzheng-093,多选,BD,B,已修改,字段→解析结论
xingzheng-094,单选,B,A,已修改,字段→解析结论
xingzheng-095,单选,A,B,已修改,字段→解析结论
xingzheng-098,任选题,ABC,BC,已修改,字段→解析结论
xingzheng-099,多选,BC,B,已修改,字段→解析结论
xingzheng-101,单选,B,A,已修改,字段→解析结论
xingzheng-102,多选,ABCD,ABD,已修改,字段→解析结论
xingzheng-103,多选,ABD,ACD,已修改,字段→解析结论
xingzheng-104,多选,ACD,C,已修改,字段→解析结论
xingzheng-106,多选,ABC,B,已修改,字段→解析结论
xingzheng-107,单选,B,C,已修改,字段→解析结论
