题目ID,题型,原答案,建议答案,状态,备注
minsu-089,多选,CD,B,已修改,强结论覆盖
minsu-010,单选,B,BC,需人工,逐项推导与答案字段冲突
minsu-020,多选,BC,D,需人工,逐项推导与答案字段冲突
minsu-029,多选,BC,C,需人工,逐项推导与答案字段冲突
minsu-030,多选,BD,D,需人工,逐项推导与答案字段冲突
minsu-043,单选,B,ACD,需人工,逐项推导与答案字段冲突
minsu-050,单选,D,C,需人工,逐项推导与答案字段冲突
minsu-051,多选,ACD,B,需人工,逐项推导与答案字段冲突
minsu-056,多选,CD,D,需人工,逐项推导与答案字段冲突
minsu-057,多选,ABC,A,需人工,逐项推导与答案字段冲突
minsu-060,多选,ABCD,AB,需人工,逐项推导与答案字段冲突
minsu-064,多选,BD,B,需人工,逐项推导与答案字段冲突
minsu-065,多选,ABC,C,需人工,逐项推导与答案字段冲突
minsu-066,多选,BC,B,需人工,逐项推导与答案字段冲突
minsu-068,单选,C,AD,需人工,逐项推导与答案字段冲突
minsu-069,多选,CD,D,需人工,逐项推导与答案字段冲突
minsu-071,单选,C,ABD,需人工,逐项推导与答案字段冲突
minsu-076,单选,B,BC,需人工,逐项推导与答案字段冲突
minsu-085,单选,A,B,需人工,逐项推导与答案字段冲突
minsu-093,多选,AC,A,需人工,逐项推导与答案字段冲突
minsu-096,单选,B,AB,需人工,逐项推导与答案字段冲突
minsu-098,单选,D,AD,需人工,逐项推导与答案字段冲突
minsu-103,多选,AB,B,需人工,逐项推导与答案字段冲突
minsu-106,多选,BD,AC,需人工,逐项推导与答案字段冲突
minsu-109,单选,C,ABD,需人工,逐项推导与答案字段冲突
minsu-113,多选,ABC,BC,需人工,逐项推导与答案字段冲突
minsu-115,多选,BD,A,需人工,逐项推导与答案字段冲突
minsu-121,多选,ABCD,CD,需人工,逐项推导与答案字段冲突
minsu-123,单选,C,AC,需人工,逐项推导与答案字段冲突
minsu-124,单选,C,ABD,需人工,逐项推导与答案字段冲突
minsu-125,多选,AD,D,需人工,逐项推导与答案字段冲突
minsu-127,多选,AC,C,需人工,逐项推导与答案字段冲突
minsu-129,多选,CD,AB,需人工,逐项推导与答案字段冲突
minsu-130,多选,AB,B,需人工,逐项推导与答案字段冲突
minsu-132,单选,C,ACD,需人工,逐项推导与答案字段冲突
minsu-135,多选,ABCD,BD,需人工,逐项推导与答案字段冲突
minsu-138,多选,BC,B,需人工,逐项推导与答案字段冲突
minsu-139,多选,ACD,CD,需人工,逐项推导与答案字段冲突
minsu-146,多选,CD,D,需人工,逐项推导与答案字段冲突
minsu-147,单选,D,ABC,需人工,逐项推导与答案字段冲突
minsu-149,多选,ABD,C,需人工,逐项推导与答案字段冲突
minsu-150,多选,BD,D,需人工,逐项推导与答案字段冲突
