题目ID,题型,原答案,建议答案,状态,备注
sjjz-001,单选,D,D,跳过,结论含被判错选项
sjjz-015,单选,B,B,跳过,结论含被判错选项
sjjz-017,单选,A,A,跳过,结论含被判错选项
sjjz-018,多选,AB,AB,跳过,负面题否定陈述与结论不符
sjjz-020,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-022,多选,ABD,ABD,跳过,结论含被判错选项
sjjz-023,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-025,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-026,多选,ABC,ABC,跳过,结论含被判错选项
sjjz-027,多选,BD,BD,跳过,结论含被判错选项
sjjz-028,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-030,单选,B,B,跳过,结论含被判错选项
sjjz-033,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-035,单选,B,B,跳过,结论含被判错选项
sjjz-052,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-058,多选,CD,CD,跳过,负面题否定陈述与结论不符
sjjz-059,多选,AC,AC,跳过,负面题否定陈述与结论不符
sjjz-061,多选,ACD,ACD,跳过,结论含被判错选项
sjjz-069,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-070,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-075,多选,AC,AC,跳过,负面题否定陈述与结论不符
sjjz-083,单选,A,A,跳过,负面题否定陈述与结论不符
sjjz-088,多选,ABD,ABD,跳过,结论含被判错选项
sjjz-090,多选,BCD,BCD,跳过,负面题否定陈述与结论不符
sjjz-091,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-095,多选,ABC,ABC,跳过,结论含被判错选项
sjjz-099,多选,AD,AD,跳过,负面题否定陈述与结论不符
sjjz-100,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-104,多选,AB,AB,跳过,负面题否定陈述与结论不符
sjjz-105,多选,BC,BC,跳过,负面题否定陈述与结论不符
sjjz-106,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-115,多选,AD,AD,跳过,结论含被判错选项
sjjz-117,多选,ABCD,ABCD,跳过,结论含被判错选项
