科目,题目ID,题型,原答案,建议答案,状态,备注
三国法,sanguo-055,多选题,ABD,A,需人工,逐项推导与答案字段冲突
三国法,sanguo-067,多选题,AC,A,需人工,逐项推导与答案字段冲突
三国法,sanguo-074,多选题,CD,C,需人工,逐项推导与答案字段冲突
三国法,sanguo-083,多选题,CD,B,需人工,逐项推导与答案字段冲突
三国法,sanguo-085,多选题,AC,A,需人工,逐项推导与答案字段冲突
三国法,sanguo-232,多选题,ACD,A,需人工,逐项推导与答案字段冲突
三国法,sanguo-242,多选题,CD,C,需人工,逐项推导与答案字段冲突
刑事诉讼法,xingsu-133,多选,B,BD,需人工,逐项推导与答案字段冲突
刑事诉讼法,xingsu-150,多选,ACD,B,需人工,逐项推导与答案字段冲突
刑事诉讼法,xingsu-293,单选,D,ABC,需人工,逐项推导与答案字段冲突
刑事诉讼法,xingsu-297,多选,ABD,D,需人工,逐项推导与答案字段冲突
刑事诉讼法,xingsu-374,多选,BCD,A,需人工,逐项推导与答案字段冲突
民诉,minsu-010,单选,B,BC,需人工,逐项推导与答案字段冲突
民诉,minsu-020,多选,BC,D,需人工,逐项推导与答案字段冲突
民诉,minsu-029,多选,BC,C,需人工,逐项推导与答案字段冲突
民诉,minsu-030,多选,BD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-043,单选,B,ACD,需人工,逐项推导与答案字段冲突
民诉,minsu-050,单选,D,C,需人工,逐项推导与答案字段冲突
民诉,minsu-051,多选,ACD,B,需人工,逐项推导与答案字段冲突
民诉,minsu-056,多选,CD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-057,多选,ABC,A,需人工,逐项推导与答案字段冲突
民诉,minsu-060,多选,ABCD,AB,需人工,逐项推导与答案字段冲突
民诉,minsu-064,多选,BD,B,需人工,逐项推导与答案字段冲突
民诉,minsu-065,多选,ABC,C,需人工,逐项推导与答案字段冲突
民诉,minsu-066,多选,BC,B,需人工,逐项推导与答案字段冲突
民诉,minsu-068,单选,C,AD,需人工,逐项推导与答案字段冲突
民诉,minsu-069,多选,CD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-071,单选,C,ABD,需人工,逐项推导与答案字段冲突
民诉,minsu-076,单选,B,BC,需人工,逐项推导与答案字段冲突
民诉,minsu-085,单选,A,B,需人工,逐项推导与答案字段冲突
民诉,minsu-093,多选,AC,A,需人工,逐项推导与答案字段冲突
民诉,minsu-096,单选,B,AB,需人工,逐项推导与答案字段冲突
民诉,minsu-098,单选,D,AD,需人工,逐项推导与答案字段冲突
民诉,minsu-103,多选,AB,B,需人工,逐项推导与答案字段冲突
民诉,minsu-106,多选,BD,AC,需人工,逐项推导与答案字段冲突
民诉,minsu-109,单选,C,ABD,需人工,逐项推导与答案字段冲突
民诉,minsu-113,多选,ABC,BC,需人工,逐项推导与答案字段冲突
民诉,minsu-115,多选,BD,A,需人工,逐项推导与答案字段冲突
民诉,minsu-121,多选,ABCD,CD,需人工,逐项推导与答案字段冲突
民诉,minsu-123,单选,C,AC,需人工,逐项推导与答案字段冲突
民诉,minsu-124,单选,C,ABD,需人工,逐项推导与答案字段冲突
民诉,minsu-125,多选,AD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-127,多选,AC,C,需人工,逐项推导与答案字段冲突
民诉,minsu-129,多选,CD,AB,需人工,逐项推导与答案字段冲突
民诉,minsu-130,多选,AB,B,需人工,逐项推导与答案字段冲突
民诉,minsu-132,单选,C,ACD,需人工,逐项推导与答案字段冲突
民诉,minsu-135,多选,ABCD,BD,需人工,逐项推导与答案字段冲突
民诉,minsu-138,多选,BC,B,需人工,逐项推导与答案字段冲突
民诉,minsu-139,多选,ACD,CD,需人工,逐项推导与答案字段冲突
民诉,minsu-146,多选,CD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-147,单选,D,ABC,需人工,逐项推导与答案字段冲突
民诉,minsu-149,多选,ABD,C,需人工,逐项推导与答案字段冲突
民诉,minsu-150,多选,BD,D,需人工,逐项推导与答案字段冲突
民诉,minsu-152,多选,ABCD,A,需人工,逐项推导与答案字段冲突
民诉,minsu-153,多选,AD,B,需人工,逐项推导与答案字段冲突
民诉,minsu-154,单选,A,BCD,需人工,逐项推导与答案字段冲突
理论法,lilun-004,多选,ABCD,CD,需人工,逐项推导与答案字段冲突
理论法,lilun-012,多选,ACD,AD,需人工,逐项推导与答案字段冲突
理论法,lilun-016,多选,AB,B,需人工,逐项推导与答案字段冲突
理论法,lilun-042,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-043,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-051,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-058,多选,ABC,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-064,多选,BC,AD,需人工,逐项推导与答案字段冲突
理论法,lilun-066,多选,AB,B,需人工,逐项推导与答案字段冲突
理论法,lilun-073,多选,BC,AD,需人工,逐项推导与答案字段冲突
理论法,lilun-076,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-087,多选,AD,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-093,单选,A,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-103,多选,ABC,D,需人工,逐项推导与答案字段冲突
理论法,lilun-107,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-114,多选,ABC,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-119,单选,A,BCD,需人工,逐项推导与答案字段冲突
理论法,lilun-126,单选,C,ABD,需人工,逐项推导与答案字段冲突
理论法,lilun-137,多选,BC,AD,需人工,逐项推导与答案字段冲突
理论法,lilun-138,单选,C,ABD,需人工,逐项推导与答案字段冲突
理论法,lilun-146,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-152,多选,ABC,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-157,单选,C,ABD,需人工,逐项推导与答案字段冲突
理论法,lilun-169,多选,ACD,C,需人工,逐项推导与答案字段冲突
理论法,lilun-178,多选,BD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-192,单选,B,ACD,需人工,逐项推导与答案字段冲突
理论法,lilun-197,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-199,多选,AB,CD,需人工,逐项推导与答案字段冲突
理论法,lilun-208,单选,B,ACD,需人工,逐项推导与答案字段冲突
理论法,lilun-215,多选,ABD,C,需人工,逐项推导与答案字段冲突
理论法,lilun-221,单选,A,BCD,需人工,逐项推导与答案字段冲突
理论法,lilun-236,多选,ACD,AD,需人工,逐项推导与答案字段冲突
理论法,lilun-237,单选,C,AB,需人工,逐项推导与答案字段冲突
理论法,lilun-240,多选,BD,AC,需人工,逐项推导与答案字段冲突
理论法,lilun-247,多选,ACD,B,需人工,逐项推导与答案字段冲突
理论法,lilun-266,多选,ABD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-267,多选,BCD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-278,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-280,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-281,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-289,多选,ABD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-292,多选,ABD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-297,多选,BD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-308,多选,ABD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-314,多选,ABC,C,需人工,逐项推导与答案字段冲突
