题目ID,题型,原答案,建议答案,状态,备注
lilun-004,多选,ABCD,CD,需人工,逐项推导与答案字段冲突
lilun-012,多选,ACD,AD,需人工,逐项推导与答案字段冲突
lilun-016,多选,AB,B,需人工,逐项推导与答案字段冲突
lilun-042,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-043,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-051,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-058,多选,ABC,BC,需人工,逐项推导与答案字段冲突
lilun-064,多选,BC,AD,需人工,逐项推导与答案字段冲突
lilun-066,多选,AB,B,需人工,逐项推导与答案字段冲突
lilun-073,多选,BC,AD,需人工,逐项推导与答案字段冲突
lilun-076,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-087,多选,AD,BC,需人工,逐项推导与答案字段冲突
lilun-093,单选,A,BD,需人工,逐项推导与答案字段冲突
lilun-103,多选,ABC,D,需人工,逐项推导与答案字段冲突
lilun-107,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-114,多选,ABC,BC,需人工,逐项推导与答案字段冲突
lilun-119,单选,A,BCD,需人工,逐项推导与答案字段冲突
lilun-126,单选,C,ABD,需人工,逐项推导与答案字段冲突
lilun-137,多选,BC,AD,需人工,逐项推导与答案字段冲突
lilun-138,单选,C,ABD,需人工,逐项推导与答案字段冲突
lilun-146,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-152,多选,ABC,BC,需人工,逐项推导与答案字段冲突
lilun-157,单选,C,ABD,需人工,逐项推导与答案字段冲突
lilun-169,多选,ACD,C,需人工,逐项推导与答案字段冲突
lilun-178,多选,BD,D,需人工,逐项推导与答案字段冲突
lilun-192,单选,B,ACD,需人工,逐项推导与答案字段冲突
lilun-197,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-199,多选,AB,CD,需人工,逐项推导与答案字段冲突
lilun-208,单选,B,ACD,需人工,逐项推导与答案字段冲突
lilun-215,多选,ABD,C,需人工,逐项推导与答案字段冲突
lilun-221,单选,A,BCD,需人工,逐项推导与答案字段冲突
lilun-236,多选,ACD,AD,需人工,逐项推导与答案字段冲突
lilun-237,单选,C,AB,需人工,逐项推导与答案字段冲突
lilun-240,多选,BD,AC,需人工,逐项推导与答案字段冲突
lilun-247,多选,ACD,B,需人工,逐项推导与答案字段冲突
lilun-266,多选,ABD,D,需人工,逐项推导与答案字段冲突
lilun-267,多选,BCD,D,需人工,逐项推导与答案字段冲突
lilun-278,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-280,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-281,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-289,多选,ABD,D,需人工,逐项推导与答案字段冲突
lilun-292,多选,ABD,D,需人工,逐项推导与答案字段冲突
lilun-297,多选,BD,D,需人工,逐项推导与答案字段冲突
lilun-308,多选,ABD,BD,需人工,逐项推导与答案字段冲突
lilun-314,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-315,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-320,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-322,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-336,多选,BCD,A,需人工,逐项推导与答案字段冲突
lilun-353,多选,ABCD,ACD,需人工,逐项推导与答案字段冲突
lilun-361,多选,BCD,BD,需人工,逐项推导与答案字段冲突
lilun-366,多选,ABD,BD,需人工,逐项推导与答案字段冲突
lilun-368,多选,ABD,BD,需人工,逐项推导与答案字段冲突
lilun-371,多选,ABCD,BCD,需人工,逐项推导与答案字段冲突
lilun-377,多选,AB,B,需人工,逐项推导与答案字段冲突
lilun-380,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-388,多选,ABC,AC,需人工,逐项推导与答案字段冲突
lilun-389,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-394,单选,D,C,需人工,逐项推导与答案字段冲突
lilun-398,多选,AC,C,需人工,逐项推导与答案字段冲突
lilun-399,多选,ABC,BC,需人工,逐项推导与答案字段冲突
lilun-401,多选,AB,B,需人工,逐项推导与答案字段冲突
lilun-402,多选,BC,C,需人工,逐项推导与答案字段冲突
lilun-405,单选,B,D,需人工,逐项推导与答案字段冲突
lilun-407,多选,AC,C,需人工,逐项推导与答案字段冲突
lilun-413,多选,ABC,AC,需人工,逐项推导与答案字段冲突
lilun-415,多选,AB,B,需人工,逐项推导与答案字段冲突
lilun-424,多选,ACD,CD,需人工,逐项推导与答案字段冲突
lilun-425,多选,BCD,BD,需人工,逐项推导与答案字段冲突
lilun-426,多选,BD,D,需人工,逐项推导与答案字段冲突
lilun-431,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-460,多选,ABD,BD,需人工,逐项推导与答案字段冲突
lilun-461,多选,ABCD,D,需人工,逐项推导与答案字段冲突
lilun-477,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-487,多选,ABD,D,需人工,逐项推导与答案字段冲突
lilun-505,多选,CD,D,需人工,逐项推导与答案字段冲突
lilun-509,多选,ACD,D,需人工,逐项推导与答案字段冲突
lilun-511,单选,D,ABC,需人工,逐项推导与答案字段冲突
lilun-514,多选,ABC,C,需人工,逐项推导与答案字段冲突
lilun-531,多选,ABD,BD,需人工,逐项推导与答案字段冲突
lilun-532,多选,BCD,CD,需人工,逐项推导与答案字段冲突
lilun-533,多选,ABC,B,需人工,逐项推导与答案字段冲突
lilun-543,多选,AD,BC,需人工,逐项推导与答案字段冲突
lilun-572,多选,ABD,D,需人工,逐项推导与答案字段冲突
lilun-593,多选,BC,AD,需人工,逐项推导与答案字段冲突
lilun-001,单选,D,,跳过,无强结论且逐项推导不可信
lilun-003,多选,BC,,跳过,无强结论且逐项推导不可信
lilun-013,多选,ABC,,跳过,无强结论且逐项推导不可信
lilun-014,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-015,多选,AB,,跳过,无强结论且逐项推导不可信
lilun-022,单选,A,,跳过,无强结论且逐项推导不可信
lilun-024,单选,C,,跳过,无强结论且逐项推导不可信
lilun-027,单选,C,,跳过,无强结论且逐项推导不可信
lilun-029,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-035,单选,C,,跳过,无强结论且逐项推导不可信
lilun-036,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-040,单选,D,,跳过,无强结论且逐项推导不可信
lilun-044,单选,D,,跳过,无强结论且逐项推导不可信
lilun-045,单选,B,,跳过,无强结论且逐项推导不可信
lilun-046,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-050,多选,BC,,跳过,无强结论且逐项推导不可信
lilun-052,单选,D,,跳过,无强结论且逐项推导不可信
lilun-079,单选,C,,跳过,无强结论且逐项推导不可信
lilun-097,单选,D,,跳过,无强结论且逐项推导不可信
lilun-104,多选,AD,,跳过,无强结论且逐项推导不可信
lilun-106,单选,C,,跳过,无强结论且逐项推导不可信
lilun-124,单选,D,,跳过,无强结论且逐项推导不可信
lilun-125,多选,AD,,跳过,无强结论且逐项推导不可信
lilun-142,多选,ABC,,跳过,无强结论且逐项推导不可信
lilun-148,单选,C,,跳过,无强结论且逐项推导不可信
lilun-154,多选,BD,,跳过,无强结论且逐项推导不可信
lilun-161,多选,CD,,跳过,无强结论且逐项推导不可信
lilun-176,单选,C,,跳过,无强结论且逐项推导不可信
lilun-181,多选,ABD,,跳过,无强结论且逐项推导不可信
lilun-185,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-205,多选,AC,,跳过,无强结论且逐项推导不可信
lilun-214,单选,C,,跳过,无强结论且逐项推导不可信
lilun-217,单选,C,,跳过,无强结论且逐项推导不可信
lilun-233,多选,BCD,,跳过,无强结论且逐项推导不可信
lilun-243,多选,ABCD,,跳过,无强结论且逐项推导不可信
