题目ID,题型,原答案,建议答案,状态,备注
xingsu-133,多选,B,BD,需人工,逐项推导与答案字段冲突
xingsu-150,多选,ACD,B,需人工,逐项推导与答案字段冲突
xingsu-293,单选,D,ABC,需人工,逐项推导与答案字段冲突
xingsu-297,多选,ABD,D,需人工,逐项推导与答案字段冲突
xingsu-374,多选,BCD,A,需人工,逐项推导与答案字段冲突
xingsu-009,单选,D,D,跳过,负面题否定陈述与结论不符
xingsu-022,单选,A,A,跳过,明确当选选项不在结论
xingsu-053,单选,D,D,跳过,负面题否定陈述与结论不符
xingsu-059,多选,ABCD,ABCD,跳过,结论含被判错选项
xingsu-072,单选,A,A,跳过,负面题否定陈述与结论不符
xingsu-081,单选,D,D,跳过,负面题否定陈述与结论不符
xingsu-092,多选,ABD,ABD,跳过,负面题否定陈述与结论不符
xingsu-098,单选,C,C,跳过,负面题否定陈述与结论不符
xingsu-105,单选,B,B,跳过,负面题否定陈述与结论不符
xingsu-108,单选,C,C,跳过,负面题否定陈述与结论不符
xingsu-112,多选,ACD,,跳过,无强结论且逐项推导不可信
xingsu-120,多选,ACD,ACD,跳过,负面题否定陈述与结论不符
xingsu-125,单选,B,B,跳过,结论含被判错选项
xingsu-129,单选,C,,跳过,无强结论且逐项推导不可信
xingsu-139,单选,D,D,跳过,明确当选选项不在结论
xingsu-145,单选,A,A,跳过,结论含被判错选项
xingsu-175,多选,AC,,跳过,无强结论且逐项推导不可信
xingsu-181,单选,B,B,跳过,结论含被判错选项
xingsu-202,单选,B,B,跳过,结论含被判错选项
xingsu-206,多选,AD,AD,跳过,负面题否定陈述与结论不符
xingsu-209,单选,B,B,跳过,结论含被判错选项
xingsu-222,单选,D,D,跳过,负面题否定陈述与结论不符
xingsu-239,多选,ABD,ABD,跳过,结论含被判错选项
xingsu-254,单选,A,A,跳过,结论含被判错选项
xingsu-274,单选,C,C,跳过,结论含被判错选项
xingsu-276,单选,A,A,跳过,负面题否定陈述与结论不符
xingsu-286,多选,ACD,ACD,跳过,负面题否定陈述与结论不符
xingsu-288,单选,A,A,跳过,结论含被判错选项
xingsu-292,单选,B,B,跳过,结论含被判错选项
xingsu-303,单选,D,D,跳过,负面题否定陈述与结论不符
xingsu-308,多选,BD,BD,跳过,负面题否定陈述与结论不符
xingsu-313,单选,D,D,跳过,结论含被判错选项
xingsu-328,单选,D,D,跳过,结论含被判错选项
xingsu-349,多选,ABC,ABC,跳过,负面题否定陈述与结论不符
